condition,layer,cv_mean,cv_std,control_cv_mean,control_cv_std
FULL,0,0.5453944406005294,0.0006285889611019767,0.5443999648556336,0.00036989977225646595
FULL,1,0.9996683250414595,0.0006633499170812574,0.4996749146101721,0.015541196115924293
FULL,2,1.0,0.0,0.5155700526067235,0.010486856227292169
FULL,3,1.0,0.0,0.511265416845134,0.017360927136823728
FULL,4,1.0,0.0,0.5069497984690235,0.021282124361420712
FULL,5,1.0,0.0,0.5251705050904418,0.018680287165808124
FULL,6,1.0,0.0,0.5149012113823817,0.018106400621470037
FULL,7,1.0,0.0,0.5092726214402601,0.02281770135400898
FULL,8,1.0,0.0,0.5066148287261265,0.019018025210602994
FULL,9,1.0,0.0,0.5168912611336254,0.014626819750284929
FULL,10,1.0,0.0,0.5238646722238697,0.01141976374540352
FULL,11,1.0,0.0,0.5218702294268173,0.01329732968947145
FULL,12,1.0,0.0,0.5304855413879828,0.0065389981904257445
FULL,13,1.0,0.0,0.5271698900640286,0.01063058463764868
FULL,14,1.0,0.0,0.5221909217708368,0.014315112196937485
FULL,15,1.0,0.0,0.5212030355946536,0.014283617125903404
FULL,16,1.0,0.0,0.5321389740041516,0.012817357382010747
FULL,17,1.0,0.0,0.5125904692871185,0.009356105457719322
FULL,18,1.0,0.0,0.5062908415977507,0.01099418127791095
FULL,19,1.0,0.0,0.4986733001658375,0.012463653295589494
FULL,20,1.0,0.0,0.5149039570360119,0.01865964665482885
FULL,21,1.0,0.0,0.5086065258695485,0.02386432357341194
FULL,22,1.0,0.0,0.5119194315398724,0.022554914343880926
FULL,23,1.0,0.0,0.5132428365896786,0.023972088689927586
FULL,24,1.0,0.0,0.5095993542222661,0.020340468437089133
FULL,25,1.0,0.0,0.5109298979715111,0.020472986677321378
FULL,26,1.0,0.0,0.5112522377077087,0.022053747675037223
FULL,27,1.0,0.0,0.5132395418053222,0.020665180023900605
FULL,28,1.0,0.0,0.5192063962746971,0.02068764136557584
FULL,29,1.0,0.0,0.5062869976826684,0.028380143583721762
FULL,30,1.0,0.0,0.5109249557949765,0.015177479360502604
FULL,31,1.0,0.0,0.5099326765729849,0.019273454385945618
FULL,32,1.0,0.0,0.5009856896532789,0.014624639769253352
FULL,33,1.0,0.0,0.5162279112165442,0.018606210466603695
FULL,34,1.0,0.0,0.5182157644448837,0.014041672170007877
FULL,35,1.0,0.0,0.5149006622516555,0.03225004277364952
FULL,36,0.9996688741721854,0.0006622516556291202,0.5102583110935389,0.018224965507026684
FULL,37,1.0,0.0,0.5056220003734089,0.018340185004903187
FULL,38,1.0,0.0,0.5032942352256378,0.027796887646157273
FULL,39,1.0,0.0,0.5023041525265505,0.022708767701189816
FULL,40,1.0,0.0,0.5099233413506419,0.0270170379854903
FULL,41,1.0,0.0,0.5052831867154295,0.023783458330243756
FULL,42,1.0,0.0,0.4950127947459172,0.023872191656130123
FULL,43,1.0,0.0,0.49899948381711756,0.02147665901047693
FULL,44,1.0,0.0,0.5042931040163421,0.019133497558856793
FULL,45,1.0,0.0,0.5115822652740711,0.021915538186237465
FULL,46,1.0,0.0,0.5105833964833668,0.029456521141649164
FULL,47,1.0,0.0,0.5049641417635883,0.01710382356926707
FULL,48,1.0,0.0,0.5033041195787069,0.019759529070899663
FULL,49,1.0,0.0,0.5135712167638629,0.02615663934076616
FULL,50,1.0,0.0,0.5105949282286141,0.02338068357053939
FULL,51,1.0,0.0,0.5102610567471693,0.01824484002018235
FULL,52,1.0,0.0,0.5076191888240915,0.020180729007263854
FULL,53,1.0,0.0,0.5086125663075352,0.018104066824993416
FULL,54,1.0,0.0,0.5182168627063359,0.018743006120523317
FULL,55,1.0,0.0,0.5188785652312389,0.017901340981098447
FULL,56,1.0,0.0,0.5062815063754077,0.019427210310687937
FULL,57,1.0,0.0,0.5039680186265143,0.01805205556950167
FULL,58,1.0,0.0,0.5009878861761832,0.014698530599900424
FULL,59,1.0,0.0,0.5142400579882047,0.013341041042201891
FULL,60,1.0,0.0,0.4926993069970237,0.015420981543341674
NEUTRAL,0,0.5453944406005294,0.0006285889611019767,0.5443999648556336,0.00036989977225646595
NEUTRAL,1,0.9887340340241397,0.004110236478280845,0.5205281539323251,0.023435128773646636
NEUTRAL,2,0.9887340340241397,0.004110236478280845,0.5218559520279398,0.023082619401485607
NEUTRAL,3,0.9884029081963253,0.004683224430458804,0.5139116778140205,0.018391337074133537
NEUTRAL,4,0.9884029081963253,0.004683224430458804,0.5248432231777096,0.02143591490750449
NEUTRAL,5,0.9887340340241397,0.004110236478280845,0.5248437723084358,0.0209328725400493
NEUTRAL,6,0.9887340340241397,0.004110236478280845,0.5258355023997012,0.022912053272020005
NEUTRAL,7,0.9887340340241397,0.004110236478280845,0.5278217082358626,0.02385493367612275
NEUTRAL,8,0.9884029081963253,0.004683224430458804,0.5251710542211679,0.019952518795759232
NEUTRAL,9,0.9884029081963253,0.004683224430458804,0.5228526242957399,0.021760309085118248
NEUTRAL,10,0.9884029081963253,0.004683224430458804,0.5202058141961275,0.020492021411316688
NEUTRAL,11,0.9884029081963253,0.004683224430458804,0.52153251403029,0.02040387494260089
NEUTRAL,12,0.9884029081963253,0.004683224430458804,0.5255021800489825,0.023824823552792352
NEUTRAL,13,0.9884029081963253,0.004683224430458804,0.5195424642790463,0.02145646605636132
NEUTRAL,14,0.9884029081963253,0.004683224430458804,0.5228526242957399,0.02142765646901291
NEUTRAL,15,0.9887340340241397,0.004110236478280845,0.5205330961088597,0.025011597510339368
NEUTRAL,16,0.9887340340241397,0.004110236478280845,0.5245115482191689,0.025588268492760833
NEUTRAL,17,0.9887340340241397,0.004110236478280845,0.5238487474328138,0.022180360941966407
NEUTRAL,18,0.9887340340241397,0.004110236478280845,0.5238481983020878,0.02429071659790892
NEUTRAL,19,0.9887340340241397,0.004110236478280845,0.5208636728059481,0.02274940833085317
NEUTRAL,20,0.9887340340241397,0.004110236478280845,0.5215264735923034,0.02221131291913859
