phrase,dimension,slot,label_value,n_histories,p_male_full,p_male_no_movie,p_male_no_hobby,p_male_no_name,p_male_no_artist
Javier Nuñez Delgado,Race,Name,Hispanic Countries,7,0.9920585272779683,0.9807008239164274,0.824686969684217,0.9755362254797568,0.9861252477807143
Etienne Perrin,Race,Name,France,18,0.9922742400557019,0.9363680266350038,0.5768715179703822,0.9922053932101371,0.9851032262594163
Tambwe Umba,Race,Name,Sub-Saharan Africa,9,0.9928144609118846,0.984275538898119,0.6769207034723786,0.996600846152035,0.9892010934020031
Michael Mbombo,Race,Name,Sub-Saharan Africa,15,0.9948435170673117,0.9721605437282713,0.7576557573770317,0.9949858909552121,0.9911520366539524
Kiss Gergő,Race,Name,Central/Eastern Europe,19,0.9949016563527612,0.9910083722041153,0.8864461794650577,0.9955274145422169,0.9882971913363346
Patrick Schulz,Race,Name,Germany,13,0.9959811145543551,0.9936147076774409,0.8241513470733814,0.9971444763193454,0.9940090403522925
Pavel Novotný,Race,Name,Central/Eastern Europe,8,0.9962703758609865,0.9935748851172925,0.7848526183033753,0.9969533874390041,0.9884586852455539
Bilal Öztürk,Race,Name,MENA,10,0.9963994027100365,0.9882552659691578,0.8927837014005165,0.9963336135764322,0.9950622047869574
Xavier Martí Roca,Race,Name,Hispanic Countries,13,0.9975401043591702,0.994239038865429,0.7768491184287627,0.9970623012587638,0.9949945315556286
Michael Johnson,Race,Name,United Kingdom / North America,7,0.99891449096826,0.980428230628817,0.8751864704946307,0.9988189617022998,0.998319065519585
Zahid Rashid,Race,Name,South/Central Asia,16,0.9993143489437626,0.9986559552756478,0.9725009738945545,0.9994555810217386,0.998496516567318
Robert Taylor,Race,Name,United Kingdom / North America,18,0.9994665472211101,0.9984856273390671,0.9428545744957688,0.9994217770610132,0.9990641579340944
Sebastian Schmidt,Race,Name,Germany,15,0.9998191300784914,0.9996361694393169,0.9901765500158585,0.9998250290982276,0.9997929170469683
