phrase,target_type,dimension,dimension_value,configured_gender,indicator_name,histories_ablated,mean_effect_on_p_male,std_effect_on_p_male,median_effect_on_p_male
Javier Nuñez Delgado,Region indicator,Region,Hispanic Countries,Region,Name,7,0.0024204935346330914,0.003299105856015904,0.00023764371871948242
spend,Neutral template control,Control,Control,Control,Fixed template word,400,0.005134271754774093,0.0511904538488348,8.852773440537476e-06
thriller,Gender indicator,Gender,Male,Male,Movie,36,0.006332226925426059,0.03837301604997446,0.0
Michael Johnson,Region indicator,Region,United Kingdom / North America,Region,Name,7,0.008261059011731828,0.017475851579946505,7.748603820800781e-06
horror,Gender indicator,Gender,Male,Male,Movie,41,0.010456040138151587,0.061679541896746196,1.1920928955078125e-07
Guru Randhawa,Region indicator,Region,South/Central Asia,Region,Artist,14,0.013578521613161294,0.026714652791431828,4.877359583588259e-05
war,Gender indicator,Gender,Male,Male,Movie,36,0.01598268747329712,0.05994644345995971,0.0
science fiction,Gender indicator,Gender,Male,Male,Movie,48,0.01732144628961881,0.08486483081936051,1.1920928955078125e-07
action,Gender indicator,Gender,Male,Male,Movie,39,0.01734879230841612,0.0677493843519163,0.0
Ahmad Iqbal,Region indicator,Region,South/Central Asia,Region,Name,11,0.01814379475333474,0.03363419831490246,1.6927719116210938e-05
Kevin Fournier,Region indicator,Region,France,Region,Name,9,0.02621732817755805,0.07302353852243818,3.337860107421875e-06
cars,Gender indicator,Gender,Male,Male,Hobby,34,0.1958075998529025,0.305802901787736,0.04733070731163025
Pavel Novotný,Region indicator,Region,Central/Eastern Europe,Region,Name,8,0.22009845264256,0.2815647369420772,0.09149891138076782
weight lifting,Gender indicator,Gender,Male,Male,Hobby,31,0.2271749178969091,0.32906521629112007,0.014077961444854736
structure,Neutral template control,Control,Control,Control,Fixed template word,400,0.26175717965965234,0.41247891989344176,0.00070426008640255
gaming,Gender indicator,Gender,Male,Male,Hobby,21,0.27129424307800254,0.3872195039278144,0.0694771409034729
competitive sports,Gender indicator,Gender,Male,Male,Hobby,37,0.30734955114186613,0.40973603883901083,0.04651224613189697
investing,Gender indicator,Gender,Male,Male,Hobby,23,0.35617590805549815,0.420327276283955,0.08658623695373535
football,Gender indicator,Gender,Male,Male,Hobby,30,0.36132748595943365,0.4347063950784905,0.06878098845481873
physical activities,Gender indicator,Gender,Male,Male,Hobby,24,0.39932303438399686,0.4156459077663854,0.1393814980983734
